Iteration	AverageReturn	StdReturn
0	4601.82699931	111.515234751
1	4541.95064806	103.0577094
2	4555.96611451	90.6644489532
3	4531.82527439	128.043855256
4	4426.79317594	789.174451142
5	4536.0518432	81.2539192511
6	4581.45864435	135.955884495
7	4394.78032851	796.787277538
8	4499.96097603	219.522967043
9	4492.17934084	113.975172404
10	4427.85582013	767.509911514
11	4343.78595178	922.826687188
12	4556.00013593	134.089216154
13	4177.76582713	1077.77804142
14	3946.30567383	1288.40553482
15	4522.39445755	164.811365727
16	4460.60651779	366.475764549
17	4436.4145594	412.683781366
18	4405.18843613	448.147059269
19	4416.30350365	402.884365478
