Iteration	AverageReturn	StdReturn
0	1422.64486297	201.704457778
1	1460.03015002	346.432661963
2	1832.65471748	734.678961956
3	1739.03905289	547.183104361
4	1538.34521778	355.785616042
5	1577.43582902	432.817143813
6	1503.84482819	415.311024324
7	1741.06638017	712.567614529
8	1625.61749187	453.592716228
9	1854.20544228	570.564996048
10	1678.50355622	466.959592482
11	1689.70381257	554.65789063
12	1621.232918	448.097905282
13	1440.44285959	370.540893805
14	1537.55406587	379.815862511
15	1693.25966304	499.742320406
16	1537.32451742	251.529128742
17	1515.63956713	596.229386778
18	1782.83811268	541.350513199
19	1711.03458645	837.876253083
