Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.5689151287078857	0	18.2810218978	8.60218978102	63.0	8.0	18.2810218978	8.60218978102	5009	5009
4.830562353134155	1	19.5214007782	8.62629504082	54.0	8.0	19.5214007782	8.62629504082	5017	10026
6.996617794036865	2	21.7956521739	11.0101525583	84.0	8.0	21.7956521739	11.0101525583	5013	15039
9.601735830307007	3	23.0599078341	10.9616468368	70.0	9.0	23.0599078341	10.9616468368	5004	20043
12.23747992515564	4	25.07	12.6706392893	85.0	9.0	25.07	12.6706392893	5014	25057
14.687711954116821	5	27.8066298343	14.468909714	92.0	9.0	27.8066298343	14.468909714	5033	30090
17.3348708152771	6	33.0	16.2338989058	97.0	10.0	33.0	16.2338989058	5016	35106
20.002666473388672	7	33.3733333333	17.5360758311	93.0	11.0	33.3733333333	17.5360758311	5006	40112
22.352524757385254	8	34.5205479452	16.9678257897	103.0	9.0	34.5205479452	16.9678257897	5040	45152
24.534085273742676	9	35.3309859155	17.044978539	91.0	13.0	35.3309859155	17.044978539	5017	50169
26.587981462478638	10	36.3768115942	19.6624422748	123.0	10.0	36.3768115942	19.6624422748	5020	55189
28.84621262550354	11	39.515625	18.9958812867	111.0	10.0	39.515625	18.9958812867	5058	60247
30.883727312088013	12	38.2671755725	16.6287823809	110.0	12.0	38.2671755725	16.6287823809	5013	65260
33.01343894004822	13	44.0350877193	21.7432908888	128.0	12.0	44.0350877193	21.7432908888	5020	70280
35.091355085372925	14	44.6875	19.4656433832	123.0	12.0	44.6875	19.4656433832	5005	75285
37.80225491523743	15	44.4247787611	18.5776558671	94.0	15.0	44.4247787611	18.5776558671	5020	80305
40.4425151348114	16	47.5377358491	20.3748710047	113.0	14.0	47.5377358491	20.3748710047	5039	85344
42.90658497810364	17	48.7281553398	20.2408767293	125.0	17.0	48.7281553398	20.2408767293	5019	90363
45.10555839538574	18	53.2021276596	21.2530747649	126.0	20.0	53.2021276596	21.2530747649	5001	95364
47.333900451660156	19	51.9896907216	22.7639137674	128.0	17.0	51.9896907216	22.7639137674	5043	100407
49.806997537612915	20	54.247311828	28.0482134497	178.0	17.0	54.247311828	28.0482134497	5045	105452
52.17217755317688	21	55.3978494624	29.0387726661	153.0	16.0	55.3978494624	29.0387726661	5152	110604
54.30778694152832	22	55.7912087912	21.9622635813	132.0	17.0	55.7912087912	21.9622635813	5077	115681
56.509665966033936	23	53.2553191489	22.0820212661	137.0	17.0	53.2553191489	22.0820212661	5006	120687
58.87845468521118	24	54.4347826087	22.0090417921	145.0	20.0	54.4347826087	22.0090417921	5008	125695
61.150062561035156	25	55.5274725275	19.107757276	117.0	22.0	55.5274725275	19.107757276	5053	130748
63.26024627685547	26	57.625	21.7210164776	177.0	24.0	57.625	21.7210164776	5071	135819
65.58104634284973	27	54.5326086957	18.8906758038	125.0	18.0	54.5326086957	18.8906758038	5017	140836
68.03793215751648	28	58.4022988506	23.6018018843	135.0	16.0	58.4022988506	23.6018018843	5081	145917
70.24694180488586	29	58.3372093023	21.9950366838	125.0	23.0	58.3372093023	21.9950366838	5017	150934
72.63544297218323	30	60.2588235294	27.7226401175	141.0	16.0	60.2588235294	27.7226401175	5122	156056
75.04444098472595	31	59.023255814	22.8869703687	140.0	18.0	59.023255814	22.8869703687	5076	161132
77.27215671539307	32	62.9875	24.5196318029	169.0	26.0	62.9875	24.5196318029	5039	166171
79.34999990463257	33	61.012195122	22.0926507493	124.0	29.0	61.012195122	22.0926507493	5003	171174
81.84034132957458	34	64.987012987	23.2124538374	149.0	26.0	64.987012987	23.2124538374	5004	176178
84.20719575881958	35	67.36	25.9690277061	150.0	19.0	67.36	25.9690277061	5052	181230
86.28063464164734	36	65.5584415584	21.4109411929	110.0	25.0	65.5584415584	21.4109411929	5048	186278
88.40080404281616	37	62.5375	24.8555545854	173.0	26.0	62.5375	24.8555545854	5003	191281
90.88408899307251	38	71.9	32.0228266799	200.0	24.0	71.9	32.0228266799	5033	196314
93.14184951782227	39	70.4929577465	27.9390046096	176.0	25.0	70.4929577465	27.9390046096	5005	201319
95.28142738342285	40	67.4133333333	26.6233448103	200.0	26.0	67.4133333333	26.6233448103	5056	206375
97.66108727455139	41	65.1558441558	26.1732811788	152.0	21.0	65.1558441558	26.1732811788	5017	211392
100.00634837150574	42	73.8823529412	28.4400967007	160.0	37.0	73.8823529412	28.4400967007	5024	216416
102.1579418182373	43	74.0588235294	28.8433305335	186.0	33.0	74.0588235294	28.8433305335	5036	221452
104.34150314331055	44	70.7916666667	21.9018882367	130.0	21.0	70.7916666667	21.9018882367	5097	226549
106.73246717453003	45	77.4307692308	28.5139475889	152.0	28.0	77.4307692308	28.5139475889	5033	231582
109.02634644508362	46	82.4032258065	27.576556007	145.0	23.0	82.4032258065	27.576556007	5109	236691
111.2491865158081	47	85.593220339	36.2318890557	195.0	29.0	85.593220339	36.2318890557	5050	241741
114.28642296791077	48	78.34375	26.3831259698	145.0	29.0	78.34375	26.3831259698	5014	246755
117.414053440094	49	84.5166666667	30.1216929951	172.0	30.0	84.5166666667	30.1216929951	5071	251826
120.06014609336853	50	98.862745098	37.336844867	200.0	40.0	98.862745098	37.336844867	5042	256868
122.57306146621704	51	91.5454545455	36.4146914317	200.0	32.0	91.5454545455	36.4146914317	5035	261903
125.11228680610657	52	103.816326531	39.0837266983	200.0	43.0	103.816326531	39.0837266983	5087	266990
127.5713541507721	53	106.872340426	38.2191981508	200.0	24.0	106.872340426	38.2191981508	5023	272013
129.85407638549805	54	104.666666667	35.4508658412	200.0	51.0	104.666666667	35.4508658412	5024	277037
132.1526529788971	55	112.6	39.4959350932	200.0	37.0	112.6	39.4959350932	5067	282104
