Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
48.278751611709595	0	-223.303595435	42.0849386905	-92.4628793524	-374.739042477	151.0	0.0	50132	50132
94.43317866325378	1	-215.523896651	43.1053030888	-99.0714340777	-351.058131154	151.0	0.0	50132	100264
137.61564707756042	2	-204.500566048	43.5839524604	-70.6800417928	-352.616332484	151.0	0.0	50132	150396
181.05449676513672	3	-204.407456877	40.0087507849	-96.4702966537	-333.048185204	151.0	0.0	50132	200528
226.49195170402527	4	-201.899408673	43.2464067706	-91.4703893918	-349.212161555	151.0	0.0	50132	250660
269.8271884918213	5	-199.051129904	43.6639513994	-80.898184752	-332.01483477	151.0	0.0	50132	300792
312.2996289730072	6	-198.301061393	42.8225276629	-81.7407134924	-357.540660842	151.0	0.0	50132	350924
355.2870366573334	7	-192.422901405	38.2846220694	-101.796977623	-306.675876153	151.0	0.0	50132	401056
398.0202445983887	8	-196.307834659	41.579046216	-85.8098806951	-331.751091058	151.0	0.0	50132	451188
441.30767941474915	9	-192.599344972	42.1241384774	-60.8253525852	-309.72052327	151.0	0.0	50132	501320
484.32657623291016	10	-191.829931248	42.6001173279	-91.0032340932	-366.25007561	151.0	0.0	50132	551452
527.4321913719177	11	-190.847795697	38.3409767634	-93.5090337852	-309.546542896	151.0	0.0	50132	601584
570.9259140491486	12	-185.529726645	38.5919857748	-98.1384524125	-318.476756501	151.0	0.0	50132	651716
615.9203720092773	13	-185.281772564	37.5003849273	-60.4085591332	-309.118280738	151.0	0.0	50132	701848
660.4246578216553	14	-182.313414593	40.188587874	-67.274080877	-358.319275504	151.0	0.0	50132	751980
704.7841968536377	15	-185.159027012	37.0301437258	-76.3120299703	-302.059398969	151.0	0.0	50132	802112
748.943793296814	16	-179.270062082	36.8967251116	-41.8057512008	-292.790388861	151.0	0.0	50132	852244
791.9863245487213	17	-177.533252672	37.5952839357	-90.3462563394	-313.921497914	151.0	0.0	50132	902376
834.8462896347046	18	-175.618620518	39.2826961298	-45.9911950962	-330.066083129	151.0	0.0	50132	952508
878.3581624031067	19	-174.546705531	41.086932296	-54.9250661003	-318.992127831	151.0	0.0	50132	1002640
921.5057713985443	20	-172.062209811	37.6716057129	-65.4076282376	-299.922594144	151.0	0.0	50132	1052772
964.4669213294983	21	-173.584213715	37.3586560953	-58.5932086234	-323.073842939	151.0	0.0	50132	1102904
1007.7768313884735	22	-174.179189642	38.3139238685	-62.3482816014	-339.354183567	151.0	0.0	50132	1153036
1051.0507218837738	23	-172.086098521	39.8658231002	-72.3229148814	-306.962744321	151.0	0.0	50132	1203168
1094.2484471797943	24	-170.535598486	36.6641266428	-31.9532397162	-290.494575844	151.0	0.0	50132	1253300
1138.382956981659	25	-173.867931243	38.7602371418	-53.6695993626	-349.957638277	151.0	0.0	50132	1303432
1181.933034658432	26	-170.537810226	34.4244298943	-87.0800784045	-291.675277614	151.0	0.0	50132	1353564
1225.645075082779	27	-167.582339395	36.933444332	-74.441746995	-285.818902704	151.0	0.0	50132	1403696
1268.8330104351044	28	-166.267452684	32.7979242621	-91.0762879394	-283.312554936	151.0	0.0	50132	1453828
1311.6383283138275	29	-162.90701945	36.0245156343	-71.9378137236	-287.968013326	151.0	0.0	50132	1503960
1353.48956823349	30	-161.622029413	34.2837679102	-47.6374864981	-312.472070294	151.0	0.0	50132	1554092
1394.0160946846008	31	-161.711155169	36.2563517806	-59.8932532479	-358.424885588	151.0	0.0	50132	1604224
1436.9778463840485	32	-163.983820324	35.4113114149	-57.2840376151	-305.859118834	151.0	0.0	50132	1654356
1482.4139294624329	33	-161.590798413	37.7724460579	-62.5083240038	-275.90254562	151.0	0.0	50132	1704488
1529.5465440750122	34	-159.925771036	36.0412562153	-59.2324132878	-261.424118517	151.0	0.0	50132	1754620
1576.7102680206299	35	-158.613232841	36.4348931276	-62.738887194	-269.804913402	151.0	0.0	50132	1804752
1621.1827890872955	36	-158.040147961	35.2272611207	-66.7790873638	-330.217071481	151.0	0.0	50132	1854884
1664.2385685443878	37	-156.03754001	35.6619505824	-45.3105159299	-297.5734525	151.0	0.0	50132	1905016
1708.10471534729	38	-155.219674999	37.3941799615	-36.1531537194	-324.047846761	151.0	0.0	50132	1955148
1752.032334804535	39	-152.214488895	37.1221026801	-77.5557385106	-295.545176233	151.0	0.0	50132	2005280
1789.261617898941	40	-155.400801198	36.6060771054	-51.7899009179	-319.761792553	151.0	0.0	50132	2055412
1832.0687232017517	41	-154.902088598	35.3095696845	-52.3642238364	-261.429829477	151.0	0.0	50132	2105544
1872.6206560134888	42	-149.069088161	35.2592822171	-62.5131686704	-263.155190951	151.0	0.0	50132	2155676
1913.9791119098663	43	-151.838138593	36.1475343604	-34.1157858811	-264.015918307	151.0	0.0	50132	2205808
1955.27388381958	44	-148.120487692	31.9589017735	-70.6383911234	-260.355805134	151.0	0.0	50132	2255940
